Author,Year,Condition,Control,Group.or.Individual,Sample Size,Age,Percent.Male,Percent.White,MMSE,PEDro,Treatment.Length,Tx.Sesson.Duration,Treatment.Frequency,Measure.Name,Method,Constructs,Higher.Score.Direction,Mean.Pre,SD.Pre,Mean.Post,SD.Post,Mean.Change
Fairchild & Scogin,2010,Control,Active Control,NR,25,71.24,20,68,NR,5,6,0.17,0.33,Positive and Negative Affect Schedule (PANAS) - Negative affect,Questionnaire,SELF-REPORT - Non-Cog,-1,17.48,7.23,16.16,6.26,NR
Smart et al.,2016,Cognitive,Active Control,Group,8,69.6,26.67,91.7,28,9,8,2,1,Cognitive Complaints Index,Questionnaire,SELF-REPORT - Cog,-1,27.13,12.61,26,12.46,NR
Smart et al.,2016,Cognitive,Active Control,Group,8,69.6,26.67,91.7,28,9,8,2,1,Five-Facet Mindfulness Questionnaire,Questionnaire,SELF-REPORT - Non-Cog,1,78.75,12.51,80.63,11.02,NR
Smart et al.,2016,Cognitive,Active Control,Group,8,69.6,26.67,91.7,28,9,8,2,1,Go/No-go - RT Mean,Cognitive,COG - exec fx,-1,388.14,52.16,372.4,31.78,NR
Smart et al.,2016,Cognitive,Active Control,Group,8,69.6,26.67,91.7,28,9,8,2,1,Go/No-go - Proportion Accuracy,Cognitive,COG - exec fx,1,0.9,0.03,0.92,0.04,NR
Smart et al.,2016,Cognitive,Active Control,Group,8,69.6,26.67,91.7,28,9,8,2,1,Go/No-go - RT Intra-Individual Variability,Cognitive,COG - exec fx,-1,9.55,1.98,8.89,1.95,NR
Smart et al.,2016,Control,Active Control,Group,7,69.6,26.67,91.7,28,9,5,2,1,Cognitive Complaints Index,Questionnaire,SELF-REPORT - Cog,-1,31.17,8.98,28,10.08,NR
Smart et al.,2016,Control,Active Control,Group,7,69.6,26.67,91.7,28,9,5,2,1,Five-Facet Mindfulness Questionnaire,Questionnaire,SELF-REPORT - Non-Cog,1,83.17,14.96,87.17,17.26,NR
Smart et al.,2016,Control,Active Control,Group,7,69.6,26.67,91.7,28,9,5,2,1,Go/No-go - RT Mean,Cognitive,COG - exec fx,-1,351.79,26.6,350.97,18.63,NR
Smart et al.,2016,Control,Active Control,Group,7,69.6,26.67,91.7,28,9,5,2,1,Go/No-go - Proportion Accuracy,Cognitive,COG - exec fx,1,0.88,0.04,0.89,0.04,NR
Smart et al.,2016,Control,Active Control,Group,7,69.6,26.67,91.7,28,9,5,2,1,Go/No-go - RT Intra-Individual Variability,Cognitive,COG - exec fx,-1,9.05,2.23,9.51,1.93,NR
